Airline,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Month,WeekDay,Day
SpiceJet,Kolkata,Cochin,CCU → BLR,09:35,09:30,27h,non-stop,No info,3841,6,Thursday,27.0
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,13:00,04:25 11 May,6h 15m,2 stops,No info,15129,6,Wednesday,12.0
Multiple carriers,Delhi,Delhi,DEL → BOM → COK,17:00,19:15,2h 35m,1 stop,No info,8266,6,Thursday,6.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,06:00,12:35,6h 35m,1 stop,No info,9794,5,Tuesday,21.0
Jet Airways,Delhi,Delhi,DEL → BOM → COK,17:00,19:00,2h 45m,1 stop,No info,14714,4,Thursday,18.0
Jet Airways,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,In-flight meal not included,4544,4,Wednesday,24.0
GoAir,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No info,6195,4,Wednesday,24.0
IndiGo,Banglore,Delhi,BLR → DEL,22:10,01:00 22 May,2h 50m,non-stop,No info,3625,5,Tuesday,21.0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,07:00,12:25,5h 25m,1 stop,In-flight meal not included,9134,3,Friday,15.0
SpiceJet,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No check-in baggage included,3841,6,Sunday,9.0
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 10 May,19h 55m,2 stops,No info,15129,5,Thursday,9.0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,05:45,19:10,13h 25m,1 stop,No info,16736,3,Wednesday,6.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,10:20,21:00,10h 40m,1 stop,No info,7005,5,Monday,27.0
SpiceJet,Chennai,Cochin,MAA → CCU,06:40,10:35,15h 40m,non-stop,No info,3597,3,Sunday,3.0
Air India,Delhi,Cochin,DEL → CCU → BOM → COK,06:50,07:40 28 Jun,24h 50m,2 stops,No info,14431,6,Thursday,27.0
Jet Airways,Delhi,Banglore,DEL → BOM → COK,18:55,19:00,14h 25m,1 stop,In-flight meal not included,15190,5,Saturday,18.0
Air India,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 10 May,21h 15m,2 stops,No info,10441,5,Thursday,9.0
IndiGo,Kolkata,Cochin,CCU → BLR,14:55,14:05,2h 55m,non-stop,No info,4804,3,Friday,15.0
SpiceJet,Kolkata,Banglore,CCU → BLR,17:15,19:45,2h 30m,non-stop,No info,4622,3,Saturday,9.0
IndiGo,Delhi,Cochin,DEL → BOM → COK,20:25,01:30 04 Apr,5h 5m,1 stop,No info,5073,4,Wednesday,3.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,11:30,19:00,7h 30m,1 stop,No info,14714,6,Wednesday,12.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,07:30,19:00,11h 30m,1 stop,No info,9315,5,Thursday,9.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,08:00,04:25 28 May,20h 25m,1 stop,In-flight meal not included,12898,5,Monday,27.0
Air India,Delhi,Kolkata,DEL → CCU → BOM → COK,11:40,19:15 13 Jun,2h 15m,2 stops,No info,13381,3,Friday,1.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,13:00,19:00,6h,1 stop,In-flight meal not included,10262,6,Monday,24.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,06:30,16:20,9h 50m,1 stop,No info,14781,5,Wednesday,1.0
Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,05:25,19:45 07 Mar,38h 20m,2 stops,No info,16914,3,Wednesday,6.0
Jet Airways,Banglore,Cochin,BLR → BOM → DEL,08:00,16:10 13 Mar,11h 15m,1 stop,No info,11087,5,Wednesday,15.0
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 25 Jun,8h 55m,2 stops,No info,13014,6,Monday,24.0
Air India,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,11:10 07 Jun,23h 10m,2 stops,No info,9416,6,Thursday,6.0
GoAir,Kolkata,Banglore,CCU → AMD → BLR,16:40,00:15 25 May,7h 35m,1 stop,No info,8855,5,Friday,24.0
SpiceJet,Kolkata,Banglore,CCU → BLR,22:20,00:40 19 Mar,2h 20m,non-stop,No info,3847,3,Monday,18.0
SpiceJet,Mumbai,Banglore,BOM → HYD,07:10,07:15,13h 10m,non-stop,No info,2017,4,Monday,1.0
SpiceJet,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3807,3,Monday,18.0
IndiGo,Delhi,Cochin,DEL → HYD → COK,17:15,12:10,26h,1 stop,No info,5298,5,Wednesday,15.0
Vistara,Kolkata,Banglore,CCU → DEL → BLR,17:00,09:05 10 May,16h 5m,1 stop,No info,9187,5,Thursday,9.0
Air India,Delhi,New Delhi,DEL → COK,20:35,21:10,12h 55m,non-stop,No info,5201,3,Wednesday,6.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,19:45,19:00 19 May,23h 15m,1 stop,No info,15554,5,Saturday,18.0
Jet Airways,Banglore,Cochin,BLR → DEL,17:00,22:50,8h 35m,non-stop,No info,4544,3,Sunday,3.0
Jet Airways,Kolkata,Hyderabad,CCU → DEL → BLR,13:15,23:35,1h 30m,1 stop,No check-in baggage included,14151,5,Wednesday,15.0
IndiGo,Chennai,Banglore,MAA → CCU,10:20,07:40,7h 15m,non-stop,No info,3540,5,Wednesday,15.0
Air India,Banglore,Cochin,BLR → DEL,07:15,08:55,5h 15m,non-stop,No info,4441,6,Thursday,27.0
IndiGo,Banglore,Delhi,BLR → DEL,11:30,06:50,2h 50m,non-stop,No info,3943,6,Saturday,1.0
Jet Airways,Delhi,Banglore,DEL → JAI → BOM → COK,09:35,04:25 25 Jun,9h 35m,2 stops,In-flight meal not included,10368,5,Saturday,18.0
Jet Airways,Banglore,New Delhi,BLR → DEL,09:50,18:10,2h 45m,non-stop,No info,4544,3,Saturday,9.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,06:30,16:20,9h 50m,1 stop,In-flight meal not included,10844,5,Wednesday,15.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 07 Jun,12h 15m,1 stop,No info,14571,6,Thursday,6.0
Jet Airways,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,04:25 10 Apr,19h,2 stops,No info,11546,4,Tuesday,9.0
IndiGo,Kolkata,Banglore,CCU → BBI → BLR,07:10,12:40,5h 30m,1 stop,No info,4864,6,Wednesday,12.0
GoAir,Banglore,New Delhi,BLR → GOI → DEL,15:45,20:15,4h 30m,1 stop,No info,7657,3,Friday,15.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,06:30,08:15 02 Apr,25h 45m,1 stop,In-flight meal not included,7064,4,Monday,1.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,,In-flight meal not included,10262,6,Sunday,9.0
Air India,Kolkata,Kolkata,CCU → GAU → DEL → BLR,09:45,08:55 10 May,2h 15m,2 stops,No check-in baggage included,13227,6,Thursday,6.0
Jet Airways,Banglore,Delhi,BLR → DEL,23:30,22:50,2h 50m,non-stop,No info,3502,4,Tuesday,9.0
Vistara,Kolkata,Cochin,CCU → DEL → BLR,07:10,22:40,15h 10m,1 stop,In-flight meal not included,8452,3,Sunday,3.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,08:00,19:00,11h,1 stop,1 Long layover,18581,6,Monday,24.0
IndiGo,Banglore,Delhi,BLR → DEL,07:10,10:05,2h 55m,non-stop,No info,4823,5,Monday,6.0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,07:00,16:10,9h 10m,1 stop,In-flight meal not included,9134,3,Friday,
IndiGo,Kolkata,Delhi,CCU → HYD → BLR,11:10,19:50,2h 55m,1 stop,No info,7476,5,Wednesday,1.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,05:50,16:20,27h 5m,1 stop,No info,10844,6,Thursday,6.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1 stop,No info,7888,5,Tuesday,21.0
Jet Airways,Delhi,Hyderabad,DEL → AMD → BOM → COK,02:35,04:25 29 May,1h 30m,2 stops,No info,16704,5,Thursday,9.0
Jet Airways,Kolkata,Delhi,CCU → BOM → BLR,19:30,08:15 10 Jun,2h 45m,1 stop,No info,14939,4,Tuesday,9.0
SpiceJet,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No check-in baggage included,3841,4,Wednesday,3.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,20:55,19:00 28 Jun,22h 5m,1 stop,In-flight meal not included,10262,6,Thursday,27.0
Vistara,Mumbai,Hyderabad,BOM → DEL → HYD,12:00,09:25 07 Mar,1h 30m,1 stop,No info,12395,5,Wednesday,15.0
SpiceJet,Kolkata,Cochin,CCU → IXB → BLR,08:00,21:25,11h 15m,1 stop,No info,8224,3,Saturday,9.0
Jet Airways,Delhi,Banglore,DEL → BOM → COK,18:55,04:25 22 Mar,17h 5m,1 stop,No info,6540,5,Friday,24.0
Jet Airways,Mumbai,Banglore,BOM → HYD,16:45,04:20,16h 10m,non-stop,No info,3210,6,Wednesday,12.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,16:30,08:15 19 May,15h 45m,1 stop,In-flight meal not included,8586,5,Saturday,18.0
IndiGo,Kolkata,Cochin,CCU → BLR,09:45,12:10,6h 25m,non-stop,No info,4804,6,Monday,3.0
Jet Airways,Kolkata,Cochin,CCU → BOM → BLR,11:30,16:20,7h 30m,1 stop,In-flight meal not included,10844,5,Tuesday,21.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,08:10,23:35,4h 50m,1 stop,No info,8586,4,Monday,1.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,09:55,04:25 07 Mar,18h 30m,1 stop,No info,15764,3,Wednesday,6.0
SpiceJet,Banglore,Cochin,BLR → DEL,11:30,12:20,14h,non-stop,In-flight meal not included,4423,5,Monday,27.0
Air India,Kolkata,Banglore,CCU → BOM → GOI → BLR,09:25,05:35 10 Jun,20h 10m,2 stops,No info,11432,6,Sunday,
Multiple carriers,Delhi,Banglore,DEL → BOM → COK,06:30,13:20,11h 45m,1 stop,In-flight meal not included,14973,6,Thursday,6.0
Air India,Banglore,New Delhi,BLR → DEL,21:10,23:55,2h 45m,,No info,4966,3,Saturday,9.0
Vistara,Mumbai,Hyderabad,BOM → DEL → HYD,08:45,22:55,14h 10m,1 stop,No info,12395,3,Wednesday,6.0
IndiGo,Kolkata,Banglore,CCU → GAU → BLR,14:05,20:30,21h 55m,1 stop,No info,8567,5,Wednesday,1.0
Jet Airways,Delhi,Banglore,DEL → AMD → BOM → COK,19:00,04:25 29 May,9h 40m,2 stops,No info,16704,5,Wednesday,1.0
SpiceJet,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No info,4423,4,Saturday,27.0
Air India,Delhi,Cochin,DEL → AMD → BOM → COK,11:40,19:15 10 Jun,7h 20m,2 stops,No info,10178,6,Thursday,6.0
Jet Airways,Kolkata,Hyderabad,CCU → DEL → BLR,02:55,23:35 02 May,1h 30m,1 stop,No info,11467,3,Wednesday,27.0
IndiGo,Chennai,Kolkata,MAA → CCU,13:15,15:35,2h 20m,non-stop,No info,3597,5,Wednesday,1.0
Air India,Kolkata,Cochin,CCU → GAU → IMF → DEL → BLR,09:00,23:15 02 Apr,10h 15m,3 stops,No info,8607,6,Wednesday,12.0
SpiceJet,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,4319,4,Thursday,18.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,18:00,01:30 02 Jun,7h 30m,1 stop,No info,7933,6,Saturday,1.0
SpiceJet,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No check-in baggage included,3841,5,Saturday,18.0
Air India,Banglore,Hyderabad,BLR → MAA → DEL,02:55,23:55,1h 25m,1 stop,No info,5092,6,Saturday,15.0
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,13:25,19:00 28 Jun,29h 35m,2 stops,In-flight meal not included,11150,6,Thursday,27.0
IndiGo,Banglore,Cochin,BLR → DEL,17:10,01:10 10 Mar,8h 20m,non-stop,No info,6144,6,Saturday,1.0
Jet Airways,Delhi,Banglore,DEL → BOM → COK,20:00,04:25 10 Mar,26h 35m,1 stop,In-flight meal not included,11848,5,Tuesday,21.0
Air India,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2 stops,No info,12646,6,Saturday,15.0
IndiGo,Banglore,New Delhi,BLR → DEL,16:55,19:45,2h 50m,non-stop,No info,12649,3,Friday,1.0
Vistara,Mumbai,Banglore,BOM → DEL → HYD,21:10,22:55,12h 10m,1 stop,No info,12395,5,Tuesday,21.0
Air India,Delhi,Cochin,DEL → BOM → COK,17:55,07:40 02 Mar,34h 30m,1 stop,No info,28322,3,Wednesday,6.0
Vistara,Kolkata,Cochin,CCU → DEL → BLR,20:40,10:45 07 Jun,12h 45m,1 stop,No info,9187,6,Monday,3.0
Jet Airways,Delhi,Cochin,DEL → COK,09:50,13:05,3h 15m,non-stop,In-flight meal not included,7202,5,Tuesday,21.0
IndiGo,Banglore,Hyderabad,BLR → DEL,10:20,00:15 16 May,1h 30m,non-stop,In-flight meal not included,3943,6,Tuesday,18.0
Jet Airways,Banglore,Cochin,BLR → BOM → DEL,09:00,10:45 13 Mar,27h 35m,1 stop,In-flight meal not included,13817,5,Saturday,18.0
IndiGo,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4804,6,Wednesday,12.0
Air India,Banglore,New Delhi,BLR → BOM → NAG → DEL,19:10,10:35 07 Mar,15h 25m,2 stops,No info,13355,3,Sunday,3.0
Air India,Kolkata,Banglore,CCU → BBI → BLR,09:10,13:15,4h 5m,1 stop,No info,8996,6,Sunday,9.0
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,17:00,09:45 13 Jun,16h 45m,1 stop,No info,12692,6,Wednesday,12.0
Vistara,Mumbai,Cochin,BOM → DEL → HYD,11:00,09:25 07 Mar,3h 15m,1 stop,No info,12395,6,Friday,21.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,,No info,13062,3,Thursday,21.0
SpiceJet,Kolkata,Cochin,CCU → BLR,17:55,11:25,4h 55m,non-stop,No info,3873,6,Thursday,6.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,06:40,19:15,12h 35m,1 stop,No info,7787,5,Wednesday,15.0
Jet Airways,Kolkata,Delhi,CCU → BOM → BLR,17:45,10:05 10 Jun,3h,1 stop,In-flight meal not included,11841,5,Wednesday,1.0
IndiGo,Banglore,Kolkata,BLR → DEL,17:45,03:15,2h 20m,non-stop,No info,3943,5,Tuesday,21.0
Vistara,Mumbai,Cochin,BOM → DEL → HYD,10:00,09:25 07 Mar,11h,1 stop,No info,12395,5,Monday,27.0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,14:05,07:40 19 Mar,17h 35m,1 stop,In-flight meal not included,7832,3,Thursday,21.0
IndiGo,Delhi,Cochin,DEL → HYD → COK,11:30,18:10,16h 55m,1 stop,In-flight meal not included,6442,6,Sunday,9.0
Air India,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,5510,6,Monday,3.0
IndiGo,Delhi,Delhi,DEL → BLR → COK,17:00,10:05,2h 45m,1 stop,No info,6842,4,Thursday,18.0
SpiceJet,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,,No check-in baggage included,3841,6,Saturday,1.0
Air India,Kolkata,Banglore,CCU → GAU → DEL → BLR,15:05,12:30 13 May,5h 15m,2 stops,No info,14330,6,Thursday,6.0
Air India,Banglore,New Delhi,BLR → VGA → DEL,10:30,11:20 19 Mar,24h 50m,1 stop,No info,6383,3,Thursday,21.0
Vistara,Banglore,New Delhi,BLR → DEL,09:45,19:35,6h 10m,non-stop,In-flight meal not included,4878,3,Friday,15.0
IndiGo,Banglore,Delhi,BLR → DEL,13:00,15:50,2h 50m,,No info,4591,5,Sunday,12.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,20:00,23:35 02 Apr,27h 35m,,No info,12681,4,Monday,1.0
Air India,Banglore,New Delhi,BLR → BOM → NAG → DEL,17:25,10:35 16 Mar,17h 10m,2 stops,No info,12568,3,Monday,18.0
IndiGo,Chennai,Kolkata,MAA → CCU,13:20,15:35,2h 15m,non-stop,No info,3384,3,Wednesday,27.0
Jet Airways,Kolkata,Hyderabad,CCU → BOM → BLR,01:35,20:45,13h 15m,1 stop,No info,12681,3,Tuesday,12.0
SpiceJet,Kolkata,Banglore,CCU → IXB → BLR,12:00,18:30,23h 10m,1 stop,No info,8844,6,Wednesday,12.0
SpiceJet,Kolkata,New Delhi,CCU → BLR,11:40,00:40 04 Jun,22h 45m,non-stop,No info,3841,3,Wednesday,6.0
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,17:00,18:00 02 May,25h,1 stop,In-flight meal not included,9314,5,Wednesday,1.0
Multiple carriers,Delhi,Banglore,DEL → BOM → COK,15:20,01:30 28 May,2h 35m,1 stop,No info,6795,6,Saturday,15.0
Air India,Delhi,Cochin,DEL → BLR → COK,10:00,08:15 28 Mar,18h 25m,1 stop,In-flight meal not included,5998,6,Monday,24.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,09:00,15:30,6h 30m,1 stop,In-flight meal not included,15136,3,Wednesday,6.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,14:00,04:25 10 Jun,5h,1 stop,In-flight meal not included,10262,5,Saturday,18.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,05:25,21:00,38h 20m,1 stop,No info,17267,3,Wednesday,6.0
Air India,Delhi,Banglore,DEL → HYD → MAA → COK,15:05,09:25 19 May,5h 40m,2 stops,No info,10975,3,Sunday,24.0
Jet Airways,Mumbai,Hyderabad,BOM → HYD,02:55,04:25,1h 30m,non-stop,In-flight meal not included,2071,3,Sunday,24.0
Jet Airways,Delhi,Banglore,DEL → AMD → BOM → COK,20:20,12:35 28 Jun,2h 35m,2 stops,No info,12819,5,Saturday,18.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,17:30,19:00 10 May,25h 30m,1 stop,No info,15554,5,Thursday,9.0
IndiGo,Delhi,Cochin,DEL → BOM → COK,17:10,01:30 10 Jun,8h 20m,1 stop,No info,6206,6,Sunday,9.0
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,19:00,9h 20m,2 stops,No info,13014,6,Monday,3.0
Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,05:30,19:00,13h 30m,2 stops,In-flight meal not included,11507,6,Thursday,6.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,13714,6,Monday,3.0
GoAir,Delhi,Cochin,DEL → BOM → COK,14:35,19:35,7h 45m,,In-flight meal not included,5281,3,Wednesday,27.0
IndiGo,Delhi,Cochin,DEL → BOM → COK,06:40,15:30,14h 40m,1 stop,No info,9709,3,Wednesday,27.0
Multiple carriers,Delhi,Banglore,DEL → BOM → COK,09:00,12:35,2h 25m,1 stop,No info,9794,4,Saturday,27.0
Air India,Banglore,New Delhi,BLR → BOM → DEL,08:50,23:15,14h 25m,1 stop,No info,8714,3,Friday,15.0
Air India,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,5510,6,Friday,21.0
Air India,Delhi,Delhi,DEL → MAA → COK,18:25,09:25 04 Mar,2h 55m,1 stop,No info,16352,5,Saturday,18.0
Jet Airways,Kolkata,Banglore,CCU → GAU → BLR,10:20,17:35,7h 15m,1 stop,No info,8355,5,Thursday,9.0
SpiceJet,Kolkata,Cochin,CCU → BLR,23:05,09:30,29h 20m,non-stop,No info,3873,5,Thursday,9.0
IndiGo,Kolkata,Cochin,CCU → BLR,02:15,17:45,10h 20m,non-stop,In-flight meal not included,4804,4,Saturday,6.0
Jet Airways,Kolkata,Cochin,CCU → DEL → BLR,10:00,19:10,11h,1 stop,In-flight meal not included,14151,5,Saturday,18.0
Air India,Delhi,Cochin,DEL → BOM → COK,05:30,19:15,7h 5m,1 stop,In-flight meal not included,6377,6,Saturday,1.0
SpiceJet,Kolkata,Cochin,CCU → BLR,03:50,11:25,15h 10m,non-stop,No info,3873,5,Monday,27.0
Air India,Delhi,Cochin,DEL → RPR → NAG → BOM → COK,05:15,19:15 10 May,38h,3 stops,No info,10703,5,Thursday,9.0
IndiGo,Kolkata,Cochin,CCU → BLR,21:25,00:55 22 Mar,21h 35m,non-stop,In-flight meal not included,4148,6,Monday,3.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,18:55,10:05 10 May,15h 10m,1 stop,In-flight meal not included,8586,5,Thursday,9.0
IndiGo,Mumbai,Hyderabad,BOM → HYD,09:10,10:40,1h 30m,non-stop,No info,4049,6,Wednesday,12.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,8073,5,Thursday,9.0
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,07:10,22:30,15h 20m,1 stop,No info,7878,6,Monday,3.0
SpiceJet,Chennai,Banglore,MAA → CCU,07:10,12:00,11h 40m,non-stop,No info,3543,5,Wednesday,1.0
Air Asia,Banglore,Delhi,BLR → DEL,23:55,02:45 07 Apr,2h 50m,non-stop,No info,3383,4,Saturday,6.0
Air India,Banglore,New Delhi,BLR → VGA → VTZ → DEL,10:30,17:45,7h 15m,2 stops,Change airports,17461,3,Friday,1.0
IndiGo,Delhi,Banglore,DEL → BLR → COK,04:40,10:05,2h 35m,1 stop,No info,8147,6,Saturday,15.0
Jet Airways,Banglore,Delhi,BLR → BOM → DEL,19:50,05:05 16 Mar,3h,,No info,11087,5,Wednesday,1.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,02:15,11:30,9h 15m,1 stop,No info,17057,3,Sunday,3.0
Multiple carriers,Delhi,Banglore,DEL → BOM → COK,08:20,19:15,13h 30m,1 stop,No info,14848,5,Saturday,18.0
Air India,Mumbai,Hyderabad,BOM → HYD,19:30,20:45,1h 15m,non-stop,No info,3100,6,Saturday,15.0
Air India,Delhi,Cochin,DEL → BOM → COK,07:00,19:15,12h 15m,1 stop,No info,8669,6,Thursday,27.0
Air India,Mumbai,Hyderabad,BOM → AMD → ISK → HYD,05:30,14:50,9h 20m,2 stops,No info,11342,3,Tuesday,12.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,06:40,19:15,12h 35m,1 stop,No info,9100,3,Wednesday,27.0
Air India,Delhi,Delhi,DEL → TRV → COK,17:45,06:50 25 Jun,3h,1 stop,No info,6587,4,Friday,12.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 22 May,12h 15m,1 stop,No info,14781,5,Tuesday,21.0
Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35 07 Jun,15h 10m,,In-flight meal not included,11270,6,Thursday,6.0
IndiGo,Banglore,Delhi,BLR → DEL,15:15,22:50,2h 55m,non-stop,No info,4823,4,Saturday,27.0
IndiGo,Banglore,Delhi,BLR → DEL,06:05,08:50,2h 45m,non-stop,No info,4423,5,Wednesday,15.0
IndiGo,Banglore,Banglore,BLR → DEL,06:30,19:45,26h 50m,non-stop,In-flight meal not included,6860,5,Friday,24.0
Air India,Delhi,Banglore,DEL → COK,20:20,08:00,22h 30m,non-stop,No info,4729,6,Thursday,6.0
GoAir,Banglore,Delhi,BLR → DEL,07:45,10:40,2h 55m,non-stop,No info,3419,6,Tuesday,18.0
