Locality_Bridgeport,Locality_Fairfield,Locality_Greenwich,Locality_Norwalk,Locality_Stamford,Locality_Waterbury,Locality_West Hartford,Property_Four Family,Property_Single Family,Property_Three Family,Property_Two Family,Residential_Detached House,Residential_Duplex,Residential_Fourplex,Residential_Triplex,Face_East,Face_North,Face_South,Face_West,Year,Estimated Value,num_rooms,num_bathrooms,carpet_area,property_tax_rate,Sale Price
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0048990547706089654,0.19999999999999996,0.42857142857142855,0.273336524652944,0.013980968965731755,220000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.013547974273199054,0.19999999999999996,0.2857142857142857,0.286261369076113,0.013980968965731755,410000.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.031164575305470475,0.0,0.14285714285714285,0.04260411680229775,0.013980968965731755,800000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.005479531008134901,0.0,0.2857142857142857,0.022977501196744854,0.013980968965731755,164900.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.005747067624599489,0.19999999999999996,0.14285714285714285,0.10215574479288392,0.013980968965731755,265000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0042774100055989195,0.19999999999999996,0.14285714285714285,0.2048827190043082,0.013980968965731755,320000.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.021234726476303395,0.0,0.2857142857142857,0.10215574479288392,0.013980968965731755,460000.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.010963178869018214,0.0,0.14285714285714285,0.015797032072762063,0.013980968965731755,340000.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0293984454764022,0.0,0.2857142857142857,0.019147917663954017,0.013980968965731755,660000.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004388565029806014,0.0,0.2857142857142857,0.03159406414552418,0.013980968965731755,206500.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.00662401607219313,0.19999999999999996,0.2857142857142857,0.10215574479288392,0.013980968965731755,235000.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.003297599051477127,0.19999999999999996,0.14285714285714285,0.22642412637625653,0.013980968965731755,75000.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.013547974273199054,0.0,0.0,0.07419818094782193,0.013980968965731755,162000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.002272502717122814,0.6000000000000001,0.5714285714285714,0.5763523216850167,0.013980968965731755,115000.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03142393702862036,0.19999999999999996,0.42857142857142855,0.269985639061752,0.013980968965731755,687000.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.003803971939531667,0.6000000000000001,0.42857142857142855,0.10215574479288392,0.013980968965731755,186375.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.004841418832131212,0.0,0.14285714285714285,0.06606031594064143,0.013980968965731755,290000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.012449362711194546,0.0,0.0,0.023934897079942563,0.013980968965731755,410000.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01960033593518427,0.0,0.14285714285714285,0.025849688846337926,0.013980968965731755,415000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.013547974273199054,0.6000000000000001,0.7142857142857142,0.5538535184298707,0.013980968965731755,373000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00790847412969733,0.0,0.0,0.09334609861177601,0.013980968965731755,310000.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02088067713994006,0.0,0.0,0.044997606510292,0.013980968965731755,575000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.013547974273199054,0.0,0.2857142857142857,0.06653901388224032,0.013980968965731755,133000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.004048512992787274,0.0,0.14285714285714285,0.10215574479288392,0.013980968965731755,145000.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.013547974273199054,0.0,0.0,0.0311153662039253,0.013980968965731755,6125000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.010934360899779337,0.6000000000000001,0.42857142857142855,0.5955002393489707,0.013980968965731755,331000.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0044462009682837665,0.0,0.2857142857142857,0.08712302537099093,0.013980968965731755,190000.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13660129104502192,0.0,0.14285714285714285,0.09238870272857824,0.013980968965731755,4000000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.00937819056088002,0.6000000000000001,0.42857142857142855,0.5892771661081858,0.013980968965731755,384000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.00316280153005773,0.0,0.2857142857142857,0.029679272379128763,0.013980968965731755,145000.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.022959687777887563,0.0,0.2857142857142857,0.05552896122546669,0.013980968965731755,410000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.010996113691005501,0.19999999999999996,0.14285714285714285,0.2340832934418382,0.013980968965731755,500000.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01347445904554886,0.0,0.2857142857142857,0.01866921972235519,0.013980968965731755,318000.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.012453479563942958,0.0,0.14285714285714285,0.07228338918142652,0.013980968965731755,439000.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.020950663636663043,0.0,0.2857142857142857,0.05600765916706557,0.013980968965731755,567500.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.003132924941540691,0.6000000000000001,0.7142857142857142,0.4322642412637625,0.013980968965731755,220000.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05691548924678062,0.0,0.14285714285714285,0.07228338918142652,0.013980968965731755,1091000.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01793712742482627,0.0,0.0,0.04356151268549546,0.013980968965731755,560000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.012449362711194546,0.0,0.0,0.06318812829104836,0.013980968965731755,320000.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.005034910911306524,0.0,0.14285714285714285,0.05552896122546669,0.013980968965731755,195000.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08542469452952607,0.0,0.14285714285714285,0.034944949736716135,0.013980968965731755,2000000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.016356255969436486,0.0,0.2857142857142857,0.014360938247965527,0.013980968965731755,435000.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.010250963343543128,0.0,0.14285714285714285,0.028721876495931054,0.013980968965731755,345000.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0031288080887922802,0.0,0.2857142857142857,0.047391096218286244,0.013980968965731755,289000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.038200276652504694,0.0,0.2857142857142857,0.08137865007180467,0.013980968965731755,850000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.006570496986463789,0.0,0.2857142857142857,0.02249880325514597,0.013980968965731755,265000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.007430919210881666,0.0,0.2857142857142857,0.0033508855911919544,0.013980968965731755,355000.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02069953561900998,0.0,0.2857142857142857,0.0033508855911919544,0.013980968965731755,440000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0048178939592831505,0.0,0.14285714285714285,0.019147917663954017,0.013980968965731755,195000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.003795738234034845,0.6000000000000001,0.5714285714285714,0.5514600287218765,0.013980968965731755,152000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0032154972452373897,0.0,0.14285714285714285,0.044518908568693116,0.013980968965731755,130000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.013547974273199054,0.0,0.0,0.011010052656773572,0.013980968965731755,789000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.003976879754964925,0.0,0.14285714285714285,0.07084729535662992,0.013980968965731755,158000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04324753812205645,0.0,0.2857142857142857,0.09430349449497366,0.013980968965731755,1300000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.004590290814478148,0.0,0.14285714285714285,0.016275730014360945,0.013980968965731755,82500.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01559463821098047,0.0,0.14285714285714285,0.01292484442316899,0.013980968965731755,435000.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.020724236735500445,0.0,0.14285714285714285,0.02632838678793681,0.013980968965731755,400000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.00699453281955011,0.0,0.0,0.10215574479288392,0.013980968965731755,335000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.002733590224944834,0.19999999999999996,0.14285714285714285,0.2063188128291048,0.013980968965731755,205000.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11497134670487107,0.0,0.2857142857142857,0.06414552417424602,0.013980968965731755,2700000.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03724928366762178,0.0,0.2857142857142857,0.04882719004308278,0.013980968965731755,755000.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14686872179955868,0.0,0.2857142857142857,0.07228338918142652,0.013980968965731755,3450000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.003457038877204869,0.0,0.14285714285714285,0.06558161799904261,0.013980968965731755,144300.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.013779106148931266,0.0,0.2857142857142857,0.028243178554332227,0.013980968965731755,15000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.011387214702104536,0.19999999999999996,0.42857142857142855,0.10215574479288392,0.013980968965731755,548300.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0064963936369923925,0.0,0.2857142857142857,0.005265677357587373,0.013980968965731755,239000.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03698580509172348,0.0,0.2857142857142857,0.08616562948779316,0.013980968965731755,962500.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.003684583209827751,0.0,0.2857142857142857,0.017233125897558654,0.013980968965731755,101555.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.060385996113691005,0.19999999999999996,0.2857142857142857,0.21493537577788413,0.013980968965731755,875000.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0490481836445674,0.0,0.2857142857142857,0.07994255624700808,0.013980968965731755,1020000.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0033799361064453448,0.19999999999999996,0.42857142857142855,0.23456199138343703,0.013980968965731755,35000.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.003803971939531667,0.6000000000000001,0.42857142857142855,0.5739588319770225,0.013980968965731755,93000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.006755755360142278,0.0,0.2857142857142857,0.0311153662039253,0.013980968965731755,226000.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.007994928037413957,0.0,0.0,0.08377213977979892,0.013980968965731755,309000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.013547974273199054,0.6000000000000001,0.42857142857142855,0.4734322642412637,0.013980968965731755,235000.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0421689227019728,0.0,0.14285714285714285,0.027764480612733344,0.013980968965731755,820000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00708510358001515,0.0,0.0,0.028243178554332227,0.013980968965731755,280000.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.10959473701544643,0.0,0.2857142857142857,0.10215574479288392,0.013980968965731755,2875000.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02759938082534664,0.0,0.0,0.07802776448061277,0.013980968965731755,670000.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03305421071699108,0.19999999999999996,0.14285714285714285,0.21685016754427955,0.013980968965731755,810000.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.013927312847874058,0.0,0.2857142857142857,0.07802776448061277,0.013980968965731755,470000.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.013547974273199054,0.0,0.0,0.10215574479288392,0.013980968965731755,142900.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02500988044659619,0.0,0.14285714285714285,0.018190521780756308,0.013980968965731755,2095000.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0046479267529559,0.6000000000000001,0.5714285714285714,0.45715653422690283,0.013980968965731755,206000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.013547974273199054,0.6000000000000001,0.5714285714285714,0.48875059837242696,0.013980968965731755,182000.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0050184435003128814,0.0,0.2857142857142857,0.06175203446625177,0.013980968965731755,246000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.008077265092382177,0.0,0.0,0.10215574479288392,0.013980968965731755,240000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.010246905302976839,1.0,0.7142857142857142,0.9741503111536621,0.013980968965731755,363000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.007558541646082403,0.19999999999999996,0.14285714285714285,0.2029679272379129,0.013980968965731755,314000.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.003927477521983994,0.0,0.2857142857142857,0.10215574479288392,0.013980968965731755,154500.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.004203306656127523,0.6000000000000001,0.42857142857142855,0.440402106270943,0.013980968965731755,184000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.008711319227819574,0.0,0.0,0.06845380564863568,0.013980968965731755,248000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.005664848193995512,0.19999999999999996,0.14285714285714285,0.2211584490186692,0.013980968965731755,283000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.005450713038896025,0.19999999999999996,0.2857142857142857,0.21637146960268072,0.013980968965731755,300000.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.003330533873464414,0.0,0.0,0.047869794159885126,0.013980968965731755,130000.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.004186839245133881,0.0,0.2857142857142857,0.03638104356151267,0.013980968965731755,174900.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.013547974273199054,0.0,0.14285714285714285,0.00478697941598849,0.013980968965731755,190000.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0038698415835062413,0.0,0.0,0.07611297271421735,0.013980968965731755,155000.0
