Date,Year,Locality,Estimated Value,Sale Price,Property,Residential,num_rooms,num_bathrooms,carpet_area,property_tax_rate,Face
2009-01-10,2009,Bridgeport,211680.0,410000.0,?,Detached House,3,1,950.0,1.025953,South
2009-01-11,2009,Fairfield,333270.0,415000.0,Single Family,Detached House,3,2,954.0,1.025953,East
2009-01-11,2009,Bridgeport,,373000.0,Three Family,Triplex,6,6,2057.0,1.025953,West
2009-01-11,2009,,134470.0,310000.0,Single Family,Detached House,3,1,1095.0,1.025953,South
2009-01-12,2009,Fairfield,355040.0,575000.0,Single Family,Detached House,3,1,994.0,1.025953,West
2009-01-12,2009,Bridgeport,,133000.0,Single Family,Detached House,3,3,1039.0,1.025953,South
2009-01-12,2009,Bridgeport,68838.0,145000.0,Single Family,Detached House,3,2,,1.025953,East
2009-01-12,2009,Greenwich,,6125000.0,Single Family,Detached House,3,1,965.0,1.025953,South
2009-01-12,2009,Bridgeport,185920.0,331000.0,Three Family,Triplex,6,4,2144.0,1.025953,East
2009-01-12,2009,Waterbury,75600.0,190000.0,?,Detached House,3,3,1082.0,1.025953,West
2009-01-12,2009,Greenwich,2322670.0,4000000.0,Single Family,Detached House,3,2,1093.0,1.025953,East
2009-01-16,2009,Bridgeport,159460.0,384000.0,Three Family,Triplex,6,4,2131.0,1.025953,West
2009-01-16,2009,,53778.0,145000.0,Single Family,Detached House,3,3,962.0,1.025953,East
2009-01-16,2009,Fairfield,390390.0,410000.0,Single Family,Detached House,3,3,1016.0,1.025953,West
2009-01-16,2009,,186970.0,500000.0,Two Family,Duplex,4,2,1389.0,1.025953,West
2009-01-16,2009,Norwalk,229110.0,318000.0,Single Family,Detached House,3,3,939.0,1.025953,East
2009-01-16,2009,Norwalk,211750.0,439000.0,Single Family,Detached House,3,2,1051.0,1.025953,East
2009-01-16,2009,Fairfield,356230.0,567500.0,Single Family,Detached House,3,3,1017.0,1.025953,North
2009-01-16,2009,Waterbury,53270.0,220000.0,Three Family,Triplex,6,6,1803.0,1.025953,North
2009-01-17,2009,Greenwich,967750.0,1091000.0,Single Family,Detached House,3,2,1051.0,1.025953,South
2009-01-18,2009,Norwalk,304990.0,560000.0,Single Family,Detached House,3,1,991.0,1.025953,South
2009-01-18,2009,Bridgeport,211680.0,320000.0,Single Family,Detached House,3,1,1032.0,1.025953,South
2009-01-18,2009,Waterbury,85610.0,195000.0,Single Family,Detached House,3,2,1016.0,1.025953,South
2009-01-18,2009,Greenwich,1452500.0,2000000.0,?,Detached House,3,2,973.0,1.025953,North
2009-01-19,2009,,278110.0,435000.0,Single Family,Detached House,3,3,930.0,1.025953,West
2009-01-19,2009,Norwalk,174300.0,345000.0,Single Family,Detached House,3,2,960.0,1.025953,South
2009-01-22,2009,Waterbury,53200.0,289000.0,Single Family,Detached House,3,3,999.0,1.025953,North
2009-01-23,2009,,649530.0,850000.0,?,Detached House,3,3,1070.0,1.025953,East
2009-01-24,2009,Bridgeport,111720.0,265000.0,?,Detached House,3,3,947.0,1.025953,West
2009-01-24,2009,Bridgeport,126350.0,355000.0,Single Family,Detached House,3,3,907.0,1.025953,North
2009-01-25,2009,Fairfield,351960.0,440000.0,Single Family,Detached House,3,3,907.0,1.025953,South
2009-01-25,2009,,81920.0,195000.0,Single Family,Detached House,3,2,940.0,1.025953,South
2009-01-25,2009,,64540.0,152000.0,Three Family,Triplex,6,5,2052.0,1.025953,South
2009-01-25,2009,Bridgeport,54674.0,130000.0,Single Family,Detached House,3,2,993.0,1.025953,West
2009-01-25,2009,,,789000.0,Single Family,Detached House,3,1,923.0,1.025953,East
2009-01-25,2009,Bridgeport,67620.0,158000.0,Single Family,Detached House,3,2,1048.0,1.025953,South
2009-01-26,2009,,735350.0,1300000.0,Single Family,Detached House,3,3,1097.0,1.025953,West
2009-01-27,2009,,78050.0,82500.0,Single Family,Detached House,3,2,934.0,1.025953,North
2009-01-29,2009,Norwalk,265160.0,435000.0,Single Family,Detached House,3,2,927.0,1.025953,East
2009-01-29,2009,Fairfield,352380.0,400000.0,?,Detached House,3,2,955.0,1.025953,South
2009-01-30,2009,Bridgeport,118930.0,335000.0,Single Family,Detached House,3,1,,1.025953,East
2009-01-30,2009,,46480.0,205000.0,Two Family,Duplex,4,2,1331.0,1.025953,South
2009-01-30,2009,Norwalk,1954890.0,2700000.0,Single Family,Detached House,3,3,1034.0,1.025953,South
2009-01-31,2009,Greenwich,633360.0,755000.0,Single Family,Detached House,3,3,1002.0,1.025953,West
2009-01-31,2009,Greenwich,2497250.0,3450000.0,Single Family,Detached House,3,3,1051.0,1.025953,North
2009-01-31,2009,Bridgeport,58781.0,144300.0,Single Family,Detached House,3,2,1037.0,1.025953,North
2009-01-31,2009,Norwalk,234290.0,15000.0,Single Family,Detached House,3,3,959.0,1.025953,East
2009-01-31,2009,,193620.0,548300.0,Two Family,Duplex,4,4,,1.025953,South
2009-01-31,2009,Bridgeport,110460.0,239000.0,Single Family,Detached House,3,3,911.0,1.025953,North
2009-01-31,2009,Fairfield,628880.0,962500.0,Single Family,Detached House,3,3,1080.0,1.025953,West
2009-01-31,2009,Waterbury,62650.0,101555.0,?,Detached House,3,3,936.0,1.025953,South
2009-01-31,2009,Greenwich,1026760.0,875000.0,Two Family,Duplex,4,3,1349.0,1.025953,East
2009-01-31,2009,Fairfield,833980.0,1020000.0,?,Detached House,3,3,1067.0,1.025953,North
2009-01-31,2009,Waterbury,57470.0,35000.0,?,Duplex,4,4,1390.0,1.025953,North
2009-01-31,2009,Waterbury,64680.0,93000.0,Three Family,Triplex,6,4,2099.0,1.025953,East
2009-02-01,2009,Bridgeport,114870.0,226000.0,Single Family,Detached House,3,3,965.0,1.025953,East
2009-02-01,2009,Waterbury,135940.0,309000.0,Single Family,Detached House,3,1,1075.0,1.025953,West
2009-02-01,2009,Bridgeport,,235000.0,Three Family,Triplex,6,4,1889.0,1.025953,South
2009-02-01,2009,Fairfield,717010.0,820000.0,?,Detached House,3,2,958.0,1.025953,North
2009-02-01,2009,,120470.0,280000.0,Single Family,Detached House,3,1,959.0,1.025953,West
2009-02-01,2009,Greenwich,1863470.0,2875000.0,Single Family,Detached House,3,3,,1.025953,North
2009-02-01,2009,Fairfield,469280.0,670000.0,?,Detached House,3,1,1063.0,1.025953,West
2009-02-02,2009,Greenwich,562030.0,810000.0,?,Duplex,4,2,1353.0,1.025953,West
2009-02-02,2009,Norwalk,236810.0,470000.0,Single Family,Detached House,3,3,1063.0,1.025953,North
2009-02-02,2009,Waterbury,,142900.0,Single Family,Detached House,3,1,,1.025953,East
2009-02-06,2009,Greenwich,425250.0,2095000.0,Single Family,Detached House,3,2,938.0,1.025953,South
2009-02-07,2009,Waterbury,79030.0,206000.0,?,Triplex,6,5,1855.0,1.025953,East
2009-02-07,2009,,,182000.0,Three Family,Triplex,6,5,1921.0,1.025953,West
2009-02-07,2009,Waterbury,85330.0,246000.0,Single Family,Detached House,3,3,1029.0,1.025953,South
2009-02-08,2009,,137340.0,240000.0,Single Family,Detached House,3,1,,1.025953,West
2009-02-08,2009,Bridgeport,174231.0,363000.0,Four Family,Fourplex,8,6,2935.0,1.025953,South
2009-02-09,2009,Bridgeport,128520.0,314000.0,?,Duplex,4,2,1324.0,1.025953,West
2009-02-09,2009,Waterbury,66780.0,154500.0,?,Detached House,3,3,,1.025953,South
2009-02-13,2009,Waterbury,71470.0,184000.0,?,Triplex,6,4,1820.0,1.025953,South
2009-02-13,2009,Bridgeport,148121.0,248000.0,?,Detached House,3,1,1043.0,1.025953,West
2009-02-13,2009,Bridgeport,96321.0,283000.0,Two Family,Duplex,4,2,1362.0,1.025953,East
2009-02-13,2009,Bridgeport,92680.0,300000.0,Two Family,Duplex,4,3,1352.0,1.025953,West
2009-02-15,2009,Waterbury,56630.0,130000.0,Single Family,Detached House,3,1,1000.0,1.025953,North
2009-02-15,2009,Waterbury,71190.0,174900.0,Single Family,Detached House,3,3,976.0,1.025953,East
2009-02-16,2009,,,190000.0,Single Family,Detached House,3,2,910.0,1.025953,North
2009-02-16,2009,Waterbury,65800.0,155000.0,?,Detached House,3,1,1059.0,1.025953,West
2009-02-16,2009,Waterbury,70140.0,110000.0,Single Family,Detached House,3,2,909.0,1.025953,South
2009-02-20,2009,Fairfield,3416770.0,5650000.0,Single Family,Detached House,3,3,1005.0,1.025953,West
2009-02-20,2009,Fairfield,236180.0,410000.0,?,Detached House,3,3,,1.025953,North
2009-02-20,2009,Waterbury,73220.0,150520.0,Single Family,Detached House,3,1,1052.0,1.025953,South
2009-02-20,2009,Norwalk,215600.0,437000.0,Single Family,Detached House,3,1,1021.0,1.025953,South
2009-02-20,2009,Waterbury,73710.0,160000.0,Single Family,Detached House,3,2,902.0,1.025953,East
2009-02-20,2009,Fairfield,302820.0,392500.0,Single Family,Detached House,3,1,1059.0,1.025953,West
2009-02-21,2009,Greenwich,653450.0,1250000.0,Single Family,Detached House,3,2,932.0,1.025953,South
2009-02-21,2009,Norwalk,250040.0,500000.0,Single Family,Detached House,3,1,1032.0,1.025953,West
2009-02-21,2009,Waterbury,58170.0,150000.0,?,Detached House,3,2,1073.0,1.025953,South
2009-02-22,2009,Norwalk,,417000.0,?,Detached House,3,1,975.0,1.025953,West
2009-02-22,2009,Greenwich,2844800.0,5625000.0,?,Detached House,3,2,1067.0,1.025953,West
2009-02-22,2009,,82040.0,187500.0,Single Family,Detached House,3,3,1078.0,1.025953,North
2009-02-22,2009,Waterbury,49490.0,119900.0,Single Family,Detached House,3,1,959.0,1.025953,South
2009-02-23,2009,Waterbury,,175000.0,?,Detached House,3,1,1028.0,1.025953,South
2009-02-23,2009,Greenwich,450940.0,721900.0,Single Family,Detached House,3,3,1019.0,1.025953,East
2009-02-23,2009,Norwalk,209370.0,536000.0,Two Family,Duplex,4,4,1489.0,1.025953,West
2009-02-23,2009,,974680.0,1655000.0,Single Family,Detached House,3,2,1037.0,1.025953,South
2009-02-26,2009,Norwalk,479850.0,798500.0,Single Family,Detached House,3,1,,1.025953,North
2009-02-26,2009,Fairfield,421540.0,250000.0,Single Family,Detached House,3,2,,1.025953,South
2009-02-26,2009,Fairfield,221060.0,300000.0,Single Family,Detached House,3,3,1009.0,1.025953,North
2009-02-26,2009,Bridgeport,125440.0,395000.0,Two Family,Duplex,4,4,1208.0,1.025953,South
2009-02-27,2009,,,99900.0,Single Family,Detached House,3,3,1033.0,1.025953,North
2009-02-27,2009,Bridgeport,417904.0,225000.0,Three Family,Triplex,6,4,1904.0,1.025953,East
2009-02-28,2009,,322826.0,225000.0,?,Duplex,4,4,1215.0,1.025953,East
2009-02-28,2009,Bridgeport,,249900.0,Single Family,Detached House,3,3,901.0,1.025953,South
2009-02-28,2009,Norwalk,,8622939.0,Single Family,Detached House,3,3,1067.0,1.025953,West
2009-02-28,2009,Greenwich,2656080.0,4755018.0,?,Detached House,3,3,,1.025953,West
2009-02-28,2009,Fairfield,530670.0,625000.0,Single Family,Detached House,3,2,957.0,1.025953,East
2009-03-01,2009,Norwalk,505260.0,776000.0,Single Family,Detached House,3,2,,1.025953,South
2009-03-01,2009,Waterbury,74620.0,179900.0,Single Family,Detached House,3,3,917.0,1.025953,South
2009-03-01,2009,Norwalk,240660.0,449000.0,Single Family,Detached House,3,1,1072.0,1.025953,East
2009-03-01,2009,Waterbury,70000.0,145000.0,Single Family,Detached House,3,1,1081.0,1.025953,North
2009-03-02,2009,Fairfield,348950.0,480000.0,?,Detached House,3,1,,1.025953,South
2009-03-02,2009,Bridgeport,,198000.0,Single Family,Detached House,3,2,,1.025953,North
2009-03-02,2009,Bridgeport,146301.0,279000.0,?,Detached House,3,1,1028.0,1.025953,North
2009-03-02,2009,Norwalk,288050.0,525000.0,Single Family,Detached House,3,1,923.0,1.025953,West
2009-03-05,2009,Fairfield,375970.0,484000.0,Single Family,Detached House,3,2,984.0,1.025953,North
2009-03-05,2009,Bridgeport,70911.0,41350.0,Single Family,Detached House,3,1,1075.0,1.025953,South
2009-03-05,2009,Waterbury,70420.0,67000.0,Single Family,Detached House,3,2,916.0,1.025953,South
2009-03-06,2009,Fairfield,,350000.0,?,Detached House,3,2,1067.0,1.025953,West
2009-03-06,2009,Waterbury,98910.0,245000.0,Single Family,Detached House,3,2,998.0,1.025953,East
2009-03-06,2009,Norwalk,290640.0,523000.0,Single Family,Detached House,3,3,1064.0,1.025953,South
2009-03-06,2009,Bridgeport,,387800.0,Three Family,Triplex,6,5,,1.025953,East
2009-03-06,2009,,1489740.0,2305000.0,?,Detached House,3,1,969.0,1.025953,North
2009-03-07,2009,Fairfield,252910.0,361000.0,Single Family,Detached House,3,2,1050.0,1.025953,North
2009-03-07,2009,Bridgeport,112210.0,325000.0,Two Family,Duplex,4,4,1400.0,1.025953,North
2009-03-09,2009,Norwalk,544600.0,52450.0,Single Family,Detached House,3,3,,1.025953,East
2009-03-09,2009,Waterbury,55790.0,100000.0,Single Family,Detached House,3,2,1034.0,1.025953,North
2009-03-09,2009,Bridgeport,102690.0,150000.0,Single Family,Detached House,3,3,,1.025953,East
2009-03-09,2009,Greenwich,5631920.0,8500000.0,?,Detached House,3,2,928.0,1.025953,East
2009-03-09,2009,Bridgeport,68389.0,209000.0,Single Family,Detached House,3,3,1037.0,1.025953,South
2009-03-12,2009,,59990.0,220000.0,?,Triplex,6,5,1803.0,1.025953,North
2009-03-12,2009,,774410.0,960000.0,?,Detached House,3,1,,1.025953,East
2009-03-12,2009,Bridgeport,151340.0,390000.0,Two Family,Duplex,4,3,1303.0,1.025953,East
2009-03-13,2009,Norwalk,239890.0,535000.0,Single Family,Detached House,3,3,974.0,1.025953,North
2009-03-13,2009,Bridgeport,,243500.0,Single Family,Detached House,3,1,1016.0,1.025953,West
2009-03-13,2009,Fairfield,747250.0,1160000.0,Single Family,Detached House,3,1,1024.0,1.025953,South
2009-03-13,2009,Bridgeport,,153000.0,Single Family,Detached House,3,1,,1.025953,North
2009-03-14,2009,Waterbury,46980.0,159000.0,Two Family,Duplex,4,4,1226.0,1.025953,East
2009-03-14,2009,Waterbury,,89900.0,Single Family,Detached House,3,2,,1.025953,East
2009-03-14,2009,Norwalk,226730.0,430000.0,?,Detached House,3,3,1005.0,1.025953,North
2009-03-15,2009,Greenwich,,233000.0,Single Family,Detached House,3,2,1054.0,1.025953,West
2009-03-15,2009,Fairfield,357210.0,447500.0,?,Detached House,3,2,942.0,1.025953,West
2009-03-15,2009,Greenwich,2096780.0,4200000.0,Single Family,Detached House,3,3,912.0,1.025953,East
2009-03-15,2009,Waterbury,78750.0,174000.0,Single Family,Detached House,3,1,1011.0,1.025953,East
2009-03-15,2009,Bridgeport,166014.0,395000.0,Three Family,Triplex,6,4,2184.0,1.025953,East
2009-03-16,2009,Waterbury,67550.0,160000.0,?,Detached House,3,2,975.0,1.025953,East
2009-03-19,2009,Fairfield,271600.0,409000.0,Single Family,Detached House,3,1,946.0,1.025953,East
2009-03-19,2009,Norwalk,299110.0,416000.0,?,Detached House,3,1,952.0,1.025953,West
2009-03-19,2009,Bridgeport,,250000.0,Single Family,Detached House,3,3,939.0,1.025953,South
2009-03-19,2009,Greenwich,1424710.0,3902000.0,Single Family,Detached House,3,1,1040.0,1.025953,West
2009-03-19,2009,Waterbury,78120.0,164000.0,Single Family,Detached House,3,1,1027.0,1.025953,South
2009-03-19,2009,Greenwich,1438220.0,1250000.0,?,Detached House,3,2,,1.025953,South
2009-03-19,2009,Norwalk,374010.0,740000.0,Single Family,Detached House,3,1,,1.025953,South
2009-03-19,2009,,284550.0,505000.0,Single Family,Detached House,3,2,952.0,1.025953,North
2009-03-19,2009,Waterbury,72310.0,157000.0,Single Family,Detached House,3,3,936.0,1.025953,West
2009-03-19,2009,Bridgeport,59710.0,135000.0,Single Family,Detached House,3,1,1081.0,1.025953,East
2009-03-20,2009,Bridgeport,,405000.0,?,Triplex,6,4,2142.0,1.025953,South
2009-03-20,2009,Greenwich,619010.0,649000.0,Two Family,Duplex,4,3,1208.0,1.025953,East
2009-03-20,2009,Norwalk,252560.0,550000.0,?,Detached House,3,3,987.0,1.025953,South
2009-03-20,2009,Bridgeport,,42500.0,?,Detached House,3,2,1100.0,1.025953,West
2009-03-20,2009,Fairfield,456050.0,547500.0,Single Family,Detached House,3,3,1071.0,1.025953,East
2009-03-20,2009,,163310.0,405000.0,Two Family,Duplex,4,2,1467.0,1.025953,West
2009-03-20,2009,Fairfield,616910.0,1400000.0,Single Family,Detached House,3,1,935.0,1.025953,South
2009-03-21,2009,Norwalk,209650.0,360000.0,Single Family,Detached House,3,2,961.0,1.025953,West
2009-03-23,2009,Greenwich,2009280.0,2850000.0,Single Family,Detached House,3,1,900.0,1.025953,North
2009-03-23,2009,Bridgeport,128800.0,220000.0,Single Family,Detached House,3,3,983.0,1.025953,North
2009-03-26,2009,Greenwich,,2285000.0,Single Family,Detached House,3,3,1083.0,1.025953,East
2009-03-26,2009,Waterbury,85120.0,220000.0,Single Family,Detached House,3,1,1001.0,1.025953,North
2009-03-26,2009,Norwalk,,795000.0,Single Family,Detached House,3,3,1081.0,1.025953,East
2009-03-26,2009,Fairfield,294910.0,439000.0,Single Family,Detached House,3,1,910.0,1.025953,East
2009-03-27,2009,Norwalk,286090.0,435000.0,Single Family,Detached House,3,1,978.0,1.025953,East
2009-03-27,2009,Norwalk,286090.0,520000.0,?,Detached House,3,1,1058.0,1.025953,East
2009-03-29,2009,Waterbury,105350.0,233000.0,Single Family,Detached House,3,2,1046.0,1.025953,West
2009-03-29,2009,Bridgeport,,280000.0,Single Family,Detached House,3,2,1016.0,1.025953,North
2009-03-29,2009,Bridgeport,194580.0,550000.0,Single Family,Detached House,3,2,1071.0,1.025953,North
2009-03-30,2009,Bridgeport,152250.0,329600.0,Single Family,Detached House,3,1,963.0,1.025953,East
2009-03-30,2009,,403830.0,540000.0,?,Detached House,3,1,971.0,1.025953,North
2009-03-30,2009,Bridgeport,125161.0,92500.0,Two Family,Duplex,4,4,1354.0,1.025953,East
2009-03-30,2009,Waterbury,30590.0,88000.0,Single Family,Detached House,3,3,1044.0,1.025953,South
2009-04-02,2009,,1740900.0,2755000.0,?,Detached House,3,1,955.0,1.025953,East
2009-04-02,2009,,53410.0,144000.0,Two Family,Duplex,4,3,1386.0,1.025953,East
2009-04-02,2009,Bridgeport,88340.0,180000.0,Single Family,Detached House,3,3,1073.0,1.025953,North
2009-04-03,2009,Fairfield,387170.0,515000.0,Single Family,Detached House,3,3,1093.0,1.025953,West
2009-04-03,2009,Greenwich,2409190.0,3000000.0,?,Detached House,3,2,942.0,1.025953,South
2009-04-03,2009,,158620.0,185000.0,?,Triplex,6,6,1909.0,1.025953,South
2009-04-03,2009,Bridgeport,99400.0,208000.0,Two Family,Duplex,4,2,1469.0,1.025953,West
2009-04-03,2009,Norwalk,417130.0,705000.0,Single Family,Detached House,3,2,1042.0,1.025953,South
2009-04-04,2009,Fairfield,1746430.0,2535000.0,Single Family,Detached House,3,1,904.0,1.025953,West
2009-04-04,2009,Fairfield,287560.0,898900.0,Single Family,Detached House,3,2,1052.0,1.025953,East
2009-04-04,2009,Bridgeport,155470.0,231750.0,Three Family,Triplex,6,5,1988.0,1.025953,South
2009-04-09,2009,Greenwich,1066170.0,1090000.0,Single Family,Detached House,3,1,,1.025953,East
2009-04-09,2009,Waterbury,,205000.0,Three Family,Triplex,6,4,2000.0,1.025953,East
2009-04-09,2009,,,62750.0,Single Family,Detached House,3,3,967.0,1.025953,South
2009-04-09,2009,Greenwich,532700.0,887500.0,Three Family,Triplex,6,4,,1.025953,North
2009-04-09,2009,Bridgeport,176750.0,257000.0,Three Family,Triplex,6,4,1804.0,1.025953,East
2009-04-10,2009,Norwalk,305340.0,500000.0,Single Family,Detached House,3,1,932.0,1.025953,West
2009-04-11,2009,Greenwich,4400200.0,7700000.0,Single Family,Detached House,3,3,,1.025953,North
2009-04-11,2009,Bridgeport,72030.0,233000.0,Single Family,Detached House,3,3,,1.025953,West
2009-04-11,2009,Fairfield,262990.0,200000.0,?,Duplex,4,3,,1.025953,East
2009-04-11,2009,Greenwich,1120350.0,1575000.0,Single Family,Detached House,3,3,945.0,1.025953,South
2009-04-12,2009,Bridgeport,69370.0,232500.0,?,Duplex,4,3,1348.0,1.025953,West
2009-04-12,2009,Norwalk,231490.0,521500.0,Single Family,Detached House,3,3,1064.0,1.025953,North
2009-04-12,2009,Greenwich,1908060.0,1800000.0,Single Family,Detached House,3,3,974.0,1.025953,East
2009-04-12,2009,Greenwich,655550.0,715500.0,?,Detached House,3,2,991.0,1.025953,East
2009-04-13,2009,Fairfield,254450.0,343000.0,Single Family,Detached House,3,1,942.0,1.025953,South
2009-04-16,2009,Waterbury,64260.0,160000.0,?,Detached House,3,2,1013.0,1.025953,West
2009-04-16,2009,Bridgeport,115850.0,243750.0,Two Family,Duplex,4,2,1241.0,1.025953,North
2009-04-16,2009,Waterbury,71680.0,129900.0,Single Family,Detached House,3,2,1003.0,1.025953,South
2009-04-16,2009,Fairfield,1006110.0,1626500.0,?,Detached House,3,2,1041.0,1.025953,East
2009-04-17,2009,Waterbury,,90000.0,?,Duplex,4,3,1493.0,1.025953,South
2009-04-17,2009,Fairfield,425740.0,450000.0,?,Detached House,3,3,953.0,1.025953,East
2009-04-18,2009,Fairfield,511070.0,765000.0,Single Family,Detached House,3,1,,1.025953,South
2009-04-19,2009,Bridgeport,140001.0,302000.0,Single Family,Detached House,3,2,1072.0,1.025953,West
2009-04-20,2009,Greenwich,1749930.0,3140000.0,Single Family,Detached House,3,2,,1.025953,North
2009-04-23,2009,Greenwich,2404360.0,3100000.0,?,Detached House,3,1,1088.0,1.025953,South
2009-04-24,2009,Bridgeport,163030.0,299000.0,?,Duplex,4,2,1460.0,1.025953,South
2009-04-24,2009,Waterbury,68950.0,155000.0,?,Duplex,4,3,1364.0,1.025953,North
2009-04-24,2009,Waterbury,72520.0,247000.0,Two Family,Duplex,4,2,1276.0,1.025953,South
2009-04-25,2009,,397390.0,560000.0,?,Detached House,3,3,926.0,1.025953,West
2009-04-26,2009,Waterbury,89250.0,192000.0,?,Detached House,3,1,1019.0,1.025953,South
2009-04-26,2009,Norwalk,704970.0,1930000.0,Single Family,Detached House,3,3,916.0,1.025953,West
2009-04-27,2009,Waterbury,62650.0,137700.0,Single Family,Detached House,3,1,1049.0,1.025953,West
2009-04-27,2009,Greenwich,,580000.0,Single Family,Detached House,3,3,965.0,1.025953,East
2009-04-30,2009,Fairfield,243390.0,365000.0,Single Family,Detached House,3,1,937.0,1.025953,East
2009-04-30,2009,Bridgeport,,260000.0,Two Family,Duplex,4,4,1249.0,1.025953,South
2009-04-30,2009,Waterbury,57820.0,229000.0,?,Triplex,6,5,1977.0,1.025953,West
2009-04-30,2009,Waterbury,13720.0,4000.0,Single Family,Detached House,3,1,920.0,1.025953,South
2009-04-30,2009,Greenwich,3239250.0,3999999.0,Single Family,Detached House,3,3,1100.0,1.025953,South
2009-05-01,2009,,121660.0,248000.0,Single Family,Detached House,3,3,1028.0,1.025953,North
2009-05-01,2009,Fairfield,,890000.0,Single Family,Detached House,3,1,1035.0,1.025953,West
2009-05-01,2009,Waterbury,106190.0,262000.0,?,Triplex,6,4,1879.0,1.025953,South
2009-05-01,2009,,80150.0,160000.0,Single Family,Detached House,3,3,954.0,1.025953,North
2009-05-01,2009,Waterbury,64120.0,100000.0,Three Family,Triplex,6,6,1989.0,1.025953,South
2009-05-02,2009,Waterbury,87640.0,191000.0,Single Family,Detached House,3,2,1036.0,1.025953,West
2009-05-02,2009,Norwalk,384440.0,722500.0,Single Family,Detached House,3,1,1096.0,1.025953,South
2009-05-02,2009,Waterbury,84490.0,199900.0,?,Detached House,3,3,942.0,1.025953,South
2009-05-02,2009,Greenwich,661990.0,965000.0,Single Family,Detached House,3,1,995.0,1.025953,North
2009-05-04,2009,Waterbury,105140.0,188000.0,Single Family,Detached House,3,3,1077.0,1.025953,West
2009-05-07,2009,Fairfield,447580.0,570000.0,Single Family,Detached House,3,2,1050.0,1.025953,West
2009-05-07,2009,,205940.0,250000.0,Single Family,Detached House,3,3,1013.0,1.025953,South
2009-05-07,2009,Norwalk,223440.0,418000.0,Single Family,Detached House,3,2,1023.0,1.025953,South
2009-05-07,2009,Greenwich,496020.0,695000.0,Single Family,Detached House,3,3,996.0,1.025953,East
2009-05-07,2009,Waterbury,,180000.0,Single Family,Detached House,3,1,1055.0,1.025953,North
2009-05-08,2009,Waterbury,85330.0,220000.0,Single Family,Detached House,3,1,1051.0,1.025953,East
2009-05-08,2009,Norwalk,382410.0,600000.0,Single Family,Detached House,3,2,962.0,1.025953,West
2009-05-08,2009,,107030.0,200000.0,Single Family,Detached House,3,1,1068.0,1.025953,North
2009-05-09,2009,Norwalk,258650.0,420000.0,Single Family,Detached House,3,3,,1.025953,West
2009-05-09,2009,,69860.0,225000.0,Two Family,Duplex,4,4,1272.0,1.025953,North
2009-05-09,2009,Norwalk,547258.0,1475000.0,Single Family,Detached House,3,3,959.0,1.025953,East
